abbreviation,band,chebl_id,chromosome,description,ensembl_gene,ensembl_trans,entrez_id,gend,gene_number,gene_type,genecards,genes_id,goTermAccession,goTermDefinition,goTermName,gstart,humanProteomeAtlasAB,lastModified,mimAccession,mimDescription,modifiedBy,strand,symbol,tend,tstart,ucsc,uniprot_gname,url,wikigene
,,CHEMBL1743293,16,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 3 [Source:HGNC Symbol;Acc:HGNC:11455]",ENSG00000261052,ENST00000338971,6818,30204310,6818.1,,,11,,,,30199228,,2015-06-09T13:57:55Z,,,,,SULT1A3,30204028,30199231,,SULT1A4,http://vmh.uni.lu/_api/genes/11/?format=pcsv,
,,,14,"solute carrier family 25 (mitochondrial oxoadipate carrier), member 21 [Source:HGNC Symbol;Acc:HGNC:14411]",ENSG00000183032,ENST00000555449,89874,37172866,89874.1,,,12,,,,36677921,,2015-06-09T13:57:55Z,,,,,SLC25A21,37172423,36678431,,SLC25A21,http://vmh.uni.lu/_api/genes/12/?format=pcsv,
,,,15,lactate dehydrogenase A-like 6B [Source:HGNC Symbol;Acc:HGNC:21481],ENSG00000171989,ENST00000307144,92483,59208515,92483.1,,,13,,,,59206823,,2015-06-09T13:57:55Z,,,,,LDHAL6B,59208515,59206823,,LDHAL6B,http://vmh.uni.lu/_api/genes/13/?format=pcsv,
,,,11,lactate dehydrogenase C [Source:HGNC Symbol;Acc:HGNC:6544],ENSG00000166796,ENST00000541669,3948,18452058,3948.2,,,14,,,,18412307,,2015-06-09T13:57:55Z,,,,,LDHC,18452058,18412307,,LDHC,http://vmh.uni.lu/_api/genes/14/?format=pcsv,
,,,11,UEV and lactate/malate dehyrogenase domains [Source:HGNC Symbol;Acc:HGNC:30866],ENSG00000151116,ENST00000396197,55293,18588747,55293.1,,,15,,,,18529609,,2015-06-09T13:57:55Z,,,,,UEVLD,18588683,18529609,,UEVLD,http://vmh.uni.lu/_api/genes/15/?format=pcsv,
,,CHEMBL4940,12,lactate dehydrogenase B [Source:HGNC Symbol;Acc:HGNC:6541],ENSG00000111716,ENST00000396076,3945,21757857,3945.1,,,16,,,,21635342,,2015-06-09T13:57:55Z,,,,,LDHB,21657794,21635342,,LDHB,http://vmh.uni.lu/_api/genes/16/?format=pcsv,
LDHA,,CHEMBL4835,11,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535],ENSG00000134333,ENST00000422447,3939,18408425,3939.1,,,17,,,,18394388,,2015-07-01T19:32:56Z,,,,,LDHA,18408425,18394388,,LDHA,http://vmh.uni.lu/_api/genes/17/?format=pcsv,
,,,11,lactate dehydrogenase A-like 6A [Source:HGNC Symbol;Acc:HGNC:28335],ENSG00000166800,ENST00000396213,160287,18479600,160287.1,,,18,,,,18455824,,2015-06-09T13:57:55Z,,,,,LDHAL6A,18479323,18455824,,LDHAL6A,http://vmh.uni.lu/_api/genes/18/?format=pcsv,
,,,11,lactate dehydrogenase C [Source:HGNC Symbol;Acc:HGNC:6544],ENSG00000166796,ENST00000541669,3948,18452058,3948.1,,,19,,,,18412307,,2015-06-09T13:57:55Z,,,,,LDHC,18452058,18412307,,LDHC,http://vmh.uni.lu/_api/genes/19/?format=pcsv,
,,,17,"solute carrier family 16 (monocarboxylate transporter), member 3 [Source:HGNC Symbol;Acc:HGNC:10924]",ENSG00000141526,ENST00000584689,9123,82261129,9123.1,,,20,,,,82228397,,2015-06-09T13:57:55Z,,,,,SLC16A3,82237644,82228397,,SLC16A3,http://vmh.uni.lu/_api/genes/20/?format=pcsv,
,,CHEMBL2073704,12,"solute carrier family 16 (monocarboxylate transporter), member 7 [Source:HGNC Symbol;Acc:HGNC:10928]",ENSG00000118596,ENST00000552432,9194,59789855,9194.1,,,21,,,,59596067,,2015-06-09T13:57:55Z,,,,,SLC16A7,59780213,59596067,,SLC16A7,http://vmh.uni.lu/_api/genes/21/?format=pcsv,
,,CHEMBL4360,1,"solute carrier family 16 (monocarboxylate transporter), member 1 [Source:HGNC Symbol;Acc:HGNC:10922]",ENSG00000155380,ENST00000369626,6566,112957013,6566.1,,,22,,,,112911847,,2015-06-09T13:57:55Z,,,,,SLC16A1,112956353,112911847,,SLC16A1,http://vmh.uni.lu/_api/genes/22/?format=pcsv,
,,,2,"solute carrier family 4 (sodium bicarbonate cotransporter), member 5 [Source:HGNC Symbol;Acc:HGNC:18168]",ENSG00000188687,ENST00000394019,57835,74343414,57835.3,,,23,,,,74216242,,2015-06-09T13:57:55Z,,,,,SLC4A5,74343407,74216242,,SLC4A5,http://vmh.uni.lu/_api/genes/23/?format=pcsv,
,,,4,"solute carrier family 4 (sodium bicarbonate cotransporter), member 4 [Source:HGNC Symbol;Acc:HGNC:11030]",ENSG00000080493,ENST00000264485,8671,71572087,8671.1,,,24,,,,71187286,,2015-06-09T13:57:55Z,,,,,SLC4A4,71569717,71187286,,SLC4A4,http://vmh.uni.lu/_api/genes/24/?format=pcsv,
,,,2,"solute carrier family 4 (sodium bicarbonate cotransporter), member 5 [Source:HGNC Symbol;Acc:HGNC:18168]",ENSG00000188687,ENST00000394019,57835,74343414,57835.2,,,25,,,,74216242,,2015-06-09T13:57:55Z,,,,,SLC4A5,74343407,74216242,,SLC4A5,http://vmh.uni.lu/_api/genes/25/?format=pcsv,
,,,2,"solute carrier family 4 (sodium bicarbonate cotransporter), member 5 [Source:HGNC Symbol;Acc:HGNC:18168]",ENSG00000188687,ENST00000394019,57835,74343414,57835.1,,,26,,,,74216242,,2015-06-09T13:57:55Z,,,,,SLC4A5,74343407,74216242,,SLC4A5,http://vmh.uni.lu/_api/genes/26/?format=pcsv,
,,,2,"solute carrier family 4 (sodium bicarbonate cotransporter), member 5 [Source:HGNC Symbol;Acc:HGNC:18168]",ENSG00000188687,ENST00000394019,57835,74343414,57835.4,,,27,,,,74216242,,2015-06-09T13:57:55Z,,,,,SLC4A5,74343407,74216242,,SLC4A5,http://vmh.uni.lu/_api/genes/27/?format=pcsv,
OGDH,,,7,oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide) [Source:HGNC Symbol;Acc:HGNC:8124],ENSG00000105953,ENST00000439616,4967,44709066,4967.1,,,28,,,,44606572,,2015-07-01T19:32:57Z,,,,,OGDH,44708230,44606572,,OGDH,http://vmh.uni.lu/_api/genes/28/?format=pcsv,
DLD,,,7,dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898],ENSG00000091140,ENST00000205402,1738,107931730,1738.1,,,29,,,,107890970,,2015-07-01T19:32:55Z,,,,,DLD,107921203,107890970,,DLD,http://vmh.uni.lu/_api/genes/29/?format=pcsv,
PDHX,,,11,"pyruvate dehydrogenase complex, component X [Source:HGNC Symbol;Acc:HGNC:21350]",ENSG00000110435,ENST00000533550,8050,35020591,8050.1,,,30,,,,34915829,,2015-07-01T19:32:57Z,,,,,PDHX,34960511,34915829,,PDHX,http://vmh.uni.lu/_api/genes/30/?format=pcsv,
,,,14,dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex) [Source:HGNC Symbol;Acc:HGNC:2911],ENSG00000119689,ENST00000556460,1743,74903745,1743.1,,,31,,,,74881891,,2015-06-09T13:57:55Z,,,,,DLST,74892947,74881891,,DLST,http://vmh.uni.lu/_api/genes/31/?format=pcsv,
OGDH,,,7,oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide) [Source:HGNC Symbol;Acc:HGNC:8124],ENSG00000105953,ENST00000439616,4967,44709066,4967.2,,,32,,,,44606572,,2015-07-01T19:32:57Z,,,,,OGDH,44708230,44606572,,OGDH,http://vmh.uni.lu/_api/genes/32/?format=pcsv,
,,,4,alcohol dehydrogenase 6 (class V) [Source:HGNC Symbol;Acc:HGNC:255],ENSG00000172955,ENST00000394897,130,99219537,130.1,,,33,,,,99202638,,2015-06-09T13:57:55Z,,,,,ADH6,99219235,99202638,,ADH6,http://vmh.uni.lu/_api/genes/33/?format=pcsv,
,,CHEMBL2096668,4,"alcohol dehydrogenase 4 (class II), pi polypeptide [Source:HGNC Symbol;Acc:HGNC:252]",ENSG00000198099,ENST00000508393,127,99157792,127.1,,,34,,,,99123657,,2015-06-09T13:57:55Z,,,,,ADH4,99144297,99123657,,ADH4,http://vmh.uni.lu/_api/genes/34/?format=pcsv,
,,CHEMBL3284,4,"alcohol dehydrogenase 1B (class I), beta polypeptide [Source:HGNC Symbol;Acc:HGNC:250]",ENSG00000196616,ENST00000305046,125,99321442,125.1,,,35,,,,99304964,,2015-06-09T13:57:55Z,,,,,ADH1B,99321399,99304964,,ADH1B,http://vmh.uni.lu/_api/genes/35/?format=pcsv,
,,CHEMBL1970,4,"alcohol dehydrogenase 1A (class I), alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:249]",ENSG00000187758,ENST00000209668,124,99291028,124.1,,,36,,,,99276367,,2015-06-09T13:57:55Z,,,,,ADH1A,99291028,99276367,,ADH1A,http://vmh.uni.lu/_api/genes/36/?format=pcsv,
,,CHEMBL3867,4,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide [Source:HGNC Symbol;Acc:HGNC:256]",ENSG00000196344,ENST00000437033,131,99435737,131.1,,,37,,,,99412261,,2015-06-09T13:57:55Z,,,,,ADH7,99435737,99412261,,ADH7,http://vmh.uni.lu/_api/genes/37/?format=pcsv,
,,CHEMBL3285,4,"alcohol dehydrogenase 1C (class I), gamma polypeptide [Source:HGNC Symbol;Acc:HGNC:251]",ENSG00000248144,ENST00000515683,126,99353027,126.1,,,38,,,,99336492,,2015-06-09T13:57:55Z,,,,,ADH1C,99353027,99336492,,ADH1C,http://vmh.uni.lu/_api/genes/38/?format=pcsv,
,,CHEMBL2096668,4,"alcohol dehydrogenase 5 (class III), chi polypeptide [Source:HGNC Symbol;Acc:HGNC:253]",ENSG00000197894,ENST00000296412,128,99088801,128.1,,,39,,,,99070978,,2015-06-09T13:57:55Z,,,,,ADH5,99088751,99070978,,ADH5,http://vmh.uni.lu/_api/genes/39/?format=pcsv,
,,,8,"alcohol dehydrogenase, iron containing, 1 [Source:HGNC Symbol;Acc:HGNC:16354]",ENSG00000147576,ENST00000523113,137872,66471601,137872.1,,,40,,,,66430185,,2015-06-09T13:57:55Z,,,,,ADHFE1,66445324,66430185,,ADHFE1,http://vmh.uni.lu/_api/genes/40/?format=pcsv,
,,CHEMBL2023,22,catechol-O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:2228],ENSG00000093010,ENST00000361682,1312,19969975,1312.1,,,41,,,,19941607,,2015-06-09T13:57:55Z,,,,,COMT,19969975,19941607,,COMT,http://vmh.uni.lu/_api/genes/41/?format=pcsv,
,,CHEMBL2023,22,catechol-O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:2228],ENSG00000093010,ENST00000361682,1312,19969975,1312.2,,,42,,,,19941607,,2015-06-09T13:57:55Z,,,,,COMT,19969975,19941607,,COMT,http://vmh.uni.lu/_api/genes/42/?format=pcsv,
,,,6,"solute carrier family 16 (aromatic amino acid transporter), member 10 [Source:HGNC Symbol;Acc:HGNC:17027]",ENSG00000112394,ENST00000368851,117247,111231194,117247.1,,,43,,,,111087503,,2015-06-09T13:57:55Z,,,,,SLC16A10,111223020,111087578,,SLC16A10,http://vmh.uni.lu/_api/genes/43/?format=pcsv,
,,,17,"aldehyde dehydrogenase 3 family, member A1 [Source:HGNC Symbol;Acc:HGNC:405]",ENSG00000108602,ENST00000468746,218,19748943,218.1,,,44,,,,19737984,,2015-06-09T13:57:55Z,,,,,ALDH3A1,19748341,19737984,,ALDH3A1,http://vmh.uni.lu/_api/genes/44/?format=pcsv,
,,,11,"aldehyde dehydrogenase 3 family, member B2 [Source:HGNC Symbol;Acc:HGNC:411]",ENSG00000132746,ENST00000530069,222,67681200,222.1,,,45,,,,67662162,,2015-06-09T13:57:55Z,,,,,ALDH3B2,67681200,67662162,,ALDH3B2,http://vmh.uni.lu/_api/genes/45/?format=pcsv,
,,,15,"aldehyde dehydrogenase 1 family, member A3 [Source:HGNC Symbol;Acc:HGNC:409]",ENSG00000184254,ENST00000561338,220,100916626,220.1,,,46,,,,100877714,,2015-06-09T13:57:55Z,,,,,ALDH1A3,100892987,100877714,,ALDH1A3,http://vmh.uni.lu/_api/genes/46/?format=pcsv,
,,,11,"aldehyde dehydrogenase 3 family, member B1 [Source:HGNC Symbol;Acc:HGNC:410]",ENSG00000006534,ENST00000614849,221,68029282,221.1,,,47,,,,68008578,,2015-06-09T13:57:55Z,,,,,ALDH3B1,68028696,68008578,,ALDH3B1,http://vmh.uni.lu/_api/genes/47/?format=pcsv,
HPD,,,12,4-hydroxyphenylpyruvate dioxygenase [Source:HGNC Symbol;Acc:HGNC:5147],ENSG00000158104,ENST00000289004,3242,121863596,3242.1,,,48,,,,121839527,,2015-07-01T19:32:57Z,,,,,HPD,121858859,121839527,,HPD,http://vmh.uni.lu/_api/genes/48/?format=pcsv,
,,CHEMBL2044,16,4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23],ENSG00000183044,ENST00000268251,18,8784575,18.1,,,49,,,,8674565,,2015-06-09T13:57:55Z,,,,,ABAT,8784575,8674565,,ABAT,http://vmh.uni.lu/_api/genes/49/?format=pcsv,
,,CHEMBL2044,16,4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23],ENSG00000183044,ENST00000268251,18,8784575,18.2,,,50,,,,8674565,,2015-06-09T13:57:55Z,,,,,ABAT,8784575,8674565,,ABAT,http://vmh.uni.lu/_api/genes/50/?format=pcsv,
,,,18,3-ketodihydrosphingosine reductase [Source:HGNC Symbol;Acc:HGNC:4021],ENSG00000119537,ENST00000406396,2531,63367510,2531.1,,,51,,,,63327726,,2015-06-09T13:57:55Z,,,,,KDSR,63367510,63327726,,KDSR,http://vmh.uni.lu/_api/genes/51/?format=pcsv,
,,,2,"3-hydroxyanthranilate 3,4-dioxygenase [Source:HGNC Symbol;Acc:HGNC:4796]",ENSG00000162882,ENST00000294973,23498,42792593,23498.1,,,52,,,,42767089,,2015-06-09T13:57:55Z,,,,,HAAO,42792592,42767089,,HAAO,http://vmh.uni.lu/_api/genes/52/?format=pcsv,
,,,1,enoyl CoA hydratase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23408],ENSG00000121310,ENST00000371522,55268,52927212,55268.1,,,53,,,,52895910,,2015-06-09T13:57:55Z,,,,,ECHDC2,52921767,52895984,,ECHDC2,http://vmh.uni.lu/_api/genes/53/?format=pcsv,
,,CHEMBL2046259,4,aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929],ENSG00000109576,ENST00000337664,51166,170091699,51166.1,,,54,,,,170060222,,2015-06-09T13:57:55Z,,,,,AADAT,170089967,170060222,,AADAT,http://vmh.uni.lu/_api/genes/54/?format=pcsv,
,,CHEMBL3962,9,"cysteine conjugate-beta lyase, cytoplasmic [Source:HGNC Symbol;Acc:HGNC:1564]",ENSG00000171097,ENST00000302586,883,128882494,883.1,,,55,,,,128832942,,2015-06-09T13:57:55Z,,,,,CCBL1,128882053,128833113,,CCBL1,http://vmh.uni.lu/_api/genes/55/?format=pcsv,
,,CHEMBL2046259,4,aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929],ENSG00000109576,ENST00000337664,51166,170091699,51166.2,,,56,,,,170060222,,2015-06-09T13:57:55Z,,,,,AADAT,170089967,170060222,,AADAT,http://vmh.uni.lu/_api/genes/56/?format=pcsv,
DDC,,CHEMBL1843,7,dopa decarboxylase (aromatic L-amino acid decarboxylase) [Source:HGNC Symbol;Acc:HGNC:2719],ENSG00000132437,ENST00000357936,1644,50565457,1644.1,,,57,,,,50458436,,2015-07-01T19:32:56Z,,,,,DDC,50561054,50458436,,DDC,http://vmh.uni.lu/_api/genes/57/?format=pcsv,
,,,2,3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908],ENSG00000198130,ENST00000399855,26275,190344193,26275.1,,,58,,,,190189735,,2015-06-09T13:57:55Z,,,,,HIBCH,190205232,190189735,,HIBCH,http://vmh.uni.lu/_api/genes/58/?format=pcsv,
,,,2,3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908],ENSG00000198130,ENST00000399855,26275,190344193,26275.2,,,59,,,,190189735,,2015-06-09T13:57:55Z,,,,,HIBCH,190205232,190189735,,HIBCH,http://vmh.uni.lu/_api/genes/59/?format=pcsv,
MAOA,,CHEMBL1951,X,monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833],ENSG00000189221,ENST00000338702,4128,43746824,4128.1,,,60,,,,43654907,,2015-07-01T19:32:56Z,,,,,MAOA,43746821,43656219,,MAOA,http://vmh.uni.lu/_api/genes/60/?format=pcsv,
,,CHEMBL2039,X,monoamine oxidase B [Source:HGNC Symbol;Acc:HGNC:6834],ENSG00000069535,ENST00000378069,4129,43882447,4129.1,,,61,,,,43766611,,2015-06-09T13:57:55Z,,,,,MAOB,43882447,43766611,,MAOB,http://vmh.uni.lu/_api/genes/61/?format=pcsv,
,,,11,"acid phosphatase 2, lysosomal [Source:HGNC Symbol;Acc:HGNC:123]",ENSG00000134575,ENST00000256997,53,47248906,53.1,,,62,,,,47239302,,2015-06-09T13:57:55Z,,,,,ACP2,47248906,47239302,,ACP2,http://vmh.uni.lu/_api/genes/62/?format=pcsv,
,,CHEMBL2633,3,"acid phosphatase, prostate [Source:HGNC Symbol;Acc:HGNC:125]",ENSG00000014257,ENST00000336375,55,132368298,55.1,,,63,,,,132317367,,2015-06-09T13:57:55Z,,,,,ACPP,132358752,132317367,,ACPP,http://vmh.uni.lu/_api/genes/63/?format=pcsv,
,,,1,"acid phosphatase 6, lysophosphatidic [Source:HGNC Symbol;Acc:HGNC:29609]",ENSG00000162836,ENST00000609196,51205,147670496,51205.1,,,64,,,,147629652,,2015-06-09T13:57:55Z,,,,,ACP6,147659001,147629652,,ACP6,http://vmh.uni.lu/_api/genes/64/?format=pcsv,
,,,19,"acid phosphatase 5, tartrate resistant [Source:HGNC Symbol;Acc:HGNC:124]",ENSG00000102575,ENST00000218758,54,11579008,54.1,,,65,,,,11574660,,2015-06-09T13:57:55Z,,,,,ACP5,11578985,11574660,,ACP5,http://vmh.uni.lu/_api/genes/65/?format=pcsv,
SLC25A13,,,7,"solute carrier family 25 (aspartate/glutamate carrier), member 13 [Source:HGNC Symbol;Acc:HGNC:10983]",ENSG00000004864,ENST00000265631,10165,96322147,10165.1,,,66,,,,96120220,,2015-07-01T19:32:57Z,,,,,SLC25A13,96322093,96120220,,SLC25A13,http://vmh.uni.lu/_api/genes/66/?format=pcsv,
SLC25A12,,,2,"solute carrier family 25 (aspartate/glutamate carrier), member 12 [Source:HGNC Symbol;Acc:HGNC:10982]",ENSG00000115840,ENST00000422440,8604,171999859,8604.1,,,67,,,,171784370,,2015-07-01T19:32:57Z,,,,,SLC25A12,171894252,171784370,,SLC25A12,http://vmh.uni.lu/_api/genes/67/?format=pcsv,
,,,12,cysteine sulfinic acid decarboxylase [Source:HGNC Symbol;Acc:HGNC:18966],ENSG00000139631,ENST00000267085,51380,53180909,51380.1,,,68,,,,53157663,,2015-06-09T13:57:55Z,,,,,CSAD,53180596,53157663,,CSAD,http://vmh.uni.lu/_api/genes/68/?format=pcsv,
,,,2,"glutamate decarboxylase 1 (brain, 67kDa) [Source:HGNC Symbol;Acc:HGNC:4092]",ENSG00000128683,ENST00000454603,2571,170861151,2571.1,,,69,,,,170813213,,2015-06-09T13:57:55Z,,,,,GAD1,170829585,170813213,,GAD1,http://vmh.uni.lu/_api/genes/69/?format=pcsv,
,,CHEMBL2952,10,"glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa) [Source:HGNC Symbol;Acc:HGNC:4093]",ENSG00000136750,ENST00000376261,2572,26304558,2572.1,,,70,,,,26216307,,2015-06-09T13:57:55Z,,,,,GAD2,26304558,26216307,,GAD2,http://vmh.uni.lu/_api/genes/70/?format=pcsv,
,,,2,"glutamate decarboxylase 1 (brain, 67kDa) [Source:HGNC Symbol;Acc:HGNC:4092]",ENSG00000128683,ENST00000454603,2571,170861151,2571.2,,,71,,,,170813213,,2015-06-09T13:57:55Z,,,,,GAD1,170829585,170813213,,GAD1,http://vmh.uni.lu/_api/genes/71/?format=pcsv,
,,CHEMBL2189139,10,"glutamic-oxaloacetic transaminase 1, soluble [Source:HGNC Symbol;Acc:HGNC:4432]",ENSG00000120053,ENST00000370508,2805,99430624,2805.1,,,72,,,,99396870,,2015-06-09T13:57:55Z,,,,,GOT1,99430593,99396870,,GOT1,http://vmh.uni.lu/_api/genes/72/?format=pcsv,
,,,16,"glutamic-oxaloacetic transaminase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:4433]",ENSG00000125166,ENST00000245206,2806,58734357,2806.1,,,73,,,,58707131,,2015-06-09T13:57:55Z,,,,,GOT2,58734357,58707131,,GOT2,http://vmh.uni.lu/_api/genes/73/?format=pcsv,
ALDH4A1,,,1,"aldehyde dehydrogenase 4 family, member A1 [Source:HGNC Symbol;Acc:HGNC:406]",ENSG00000159423,ENST00000290597,8659,18902781,8659.1,,,74,,,,18871430,,2015-07-01T19:32:56Z,,,,,ALDH4A1,18902553,18871430,,ALDH4A1,http://vmh.uni.lu/_api/genes/74/?format=pcsv,
ALDH4A1,,,1,"aldehyde dehydrogenase 4 family, member A1 [Source:HGNC Symbol;Acc:HGNC:406]",ENSG00000159423,ENST00000290597,8659,18902781,8659.2,,,75,,,,18871430,,2015-07-01T19:32:56Z,,,,,ALDH4A1,18902553,18871430,,ALDH4A1,http://vmh.uni.lu/_api/genes/75/?format=pcsv,
,,,16,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 2 [Source:HGNC Symbol;Acc:HGNC:11454]",ENSG00000197165,ENST00000534108,6799,28597109,6799.1,,,76,,,,28591943,,2015-06-09T13:57:55Z,,,,,SULT1A2,28596374,28591943,,SULT1A2,http://vmh.uni.lu/_api/genes/76/?format=pcsv,
,,CHEMBL1743291,16,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1 [Source:HGNC Symbol;Acc:HGNC:11453]",ENSG00000196502,ENST00000569554,6817,28623625,6817.3,,,77,,,,28605196,,2015-06-09T13:57:55Z,,,,,SULT1A1,28608920,28605196,,SULT1A1,http://vmh.uni.lu/_api/genes/77/?format=pcsv,
,,,16,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 2 [Source:HGNC Symbol;Acc:HGNC:11454]",ENSG00000197165,ENST00000534108,6799,28597109,6799.2,,,78,,,,28591943,,2015-06-09T13:57:55Z,,,,,SULT1A2,28596374,28591943,,SULT1A2,http://vmh.uni.lu/_api/genes/78/?format=pcsv,
,,CHEMBL1743293,16,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 3 [Source:HGNC Symbol;Acc:HGNC:11455]",ENSG00000261052,ENST00000338971,6818,30204310,6818.2,,,79,,,,30199228,,2015-06-09T13:57:55Z,,,,,SULT1A3,30204028,30199231,,SULT1A4,http://vmh.uni.lu/_api/genes/79/?format=pcsv,
,,CHEMBL1743291,16,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1 [Source:HGNC Symbol;Acc:HGNC:11453]",ENSG00000196502,ENST00000569554,6817,28623625,6817.2,,,80,,,,28605196,,2015-06-09T13:57:55Z,,,,,SULT1A1,28608920,28605196,,SULT1A1,http://vmh.uni.lu/_api/genes/80/?format=pcsv,
,,CHEMBL1743291,16,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1 [Source:HGNC Symbol;Acc:HGNC:11453]",ENSG00000196502,ENST00000569554,6817,28623625,6817.1,,,81,,,,28605196,,2015-06-09T13:57:55Z,,,,,SULT1A1,28608920,28605196,,SULT1A1,http://vmh.uni.lu/_api/genes/81/?format=pcsv,
,,CHEMBL1743291,16,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1 [Source:HGNC Symbol;Acc:HGNC:11453]",ENSG00000196502,ENST00000569554,6817,28623625,6817.4,,,82,,,,28605196,,2015-06-09T13:57:55Z,,,,,SULT1A1,28608920,28605196,,SULT1A1,http://vmh.uni.lu/_api/genes/82/?format=pcsv,
